"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"TX","23","R","M","H001073","",7,0.766529620803745,0.660692279132424,0.875334431509114,"Hurd (R TX-23)",296,"Will","Hurd"
"MI","8","R","M","B001293","",15,0.770775581016741,0.660907608089695,0.874804857398167,"Bishop (R MI-8)",297,"Mike","Bishop"
"MO","2","R","F","W000812","21337",67,0.778067127655688,0.66303129202008,0.891213693316511,"Wagner (R MO-2)",298,"Ann","Wagner"
"CO","6","R","M","C001077","20906",13,0.782877739194067,0.678329644146917,0.885590918255287,"Coffman (R CO-6)",299,"Mike","Coffman"
"FL","7","R","M","M000689","29331",8,0.786372802604205,0.680460687341033,0.894056738691489,"Mica (R FL-7)",300,"John","Mica"
"IL","6","R","M","R000580","20715",57,0.788499990872235,0.674662892592718,0.893199737837081,"Roskam (R IL-6)",301,"Peter","Roskam"
"CA","39","R","M","R000487","29321",17,0.798660702939963,0.70002223601427,0.912382411412474,"Royce (R CA-39)",302,"Ed","Royce"
"SD","1","R","F","N000184","21177",26,0.80908828687001,0.700736362419567,0.916028639428829,"Noem (R SD-1)",303,"Kristi","Noem"
"PA","16","R","M","P000373","29752",17,0.810331932391118,0.696138519380771,0.911628889963741,"Pitts (R PA-16)",304,"Joe","Pitts"
"FL","17","R","M","R000583","20910",18,0.816969759110976,0.700778621493075,0.918260077286409,"Rooney (R FL-17)",305,"Tom","Rooney"
"SC","7","R","M","R000597","21359",9,0.818113855567019,0.709868304292983,0.93020886682404,"Rice (R SC-7)",306,"Tom","Rice"
"TN","8","R","M","F000458","21181",83,0.824087736026968,0.708546054802923,0.94543556203655,"Fincher (R TN-8)",307,"Stephen","Fincher"
"OH","7","R","M","G000563","21165",13,0.825922896737075,0.716089537342826,0.936149574911616,"Gibbs (R OH-7)",308,"Bob","Gibbs"
"IL","14","R","M","H001059","21129",20,0.828583794380302,0.712871209268731,0.936433615753088,"Hultgren (R IL-14)",309,"Randy","Hultgren"
"TX","13","R","M","T000238","29572",7,0.830429043723228,0.716167594077667,0.940216054727095,"Thornberry (R TX-13)",310,"William","Thornberry"
"IN","2","R","F","W000813","21330",24,0.835446705913378,0.717670924204784,0.944668997504322,"Walorski (R IN-2)",311,"Jackie","Walorski"
"IA","3","R","M","Y000066","",5,0.837501099227279,0.731123964322215,0.947669544049341,"Young (R IA-3)",312,"David","Young"
"MS","1","R","M","K000388","",338,0.838024406809735,0.698588327192114,0.969950329783685,"Kelly (R MS-1)",313,"Trent","Kelly"
"MS","4","R","M","P000601","21148",14,0.84129778643669,0.732656957949816,0.955990994136789,"Palazzo (R MS-4)",314,"Steven","Palazzo"
"IA","1","R","M","B001294","",21,0.84284743186414,0.731810019558709,0.950140738885801,"Blum (R IA-1)",315,"Rod","Blum"
"CA","50","R","M","H001048","20963",14,0.845118346024607,0.734221393114674,0.96049333535587,"Hunter (R CA-50)",316,"Duncan","Hunter"
"TX","6","R","M","B000213","15085",32,0.846518573112392,0.725941577165741,0.95451383993566,"Barton (R TX-6)",317,"Joe","Barton"
"LA","6","R","M","G000577","",7,0.84780002372816,0.73793361116415,0.968975295279973,"Graves (R LA-6)",318,"Garret","Graves"
"NM","2","R","M","P000588","20337",23,0.847811738257209,0.735987123803789,0.964165014333028,"Pearce (R NM-2)",319,"Steve","Pearce"
"CA","49","R","M","I000056","20107",15,0.848991189947472,0.746047109259389,0.958863489845694,"Issa (R CA-49)",320,"Darrell","Issa"
"TX","2","R","M","P000592","20528",15,0.853491002695039,0.744605099509631,0.973000779513551,"Poe (R TX-2)",321,"Ted","Poe"
"MO","4","R","F","H001053","21149",12,0.854714989649231,0.739011389430012,0.961729364343518,"Hartzler (R MO-4)",322,"Vicky","Hartzler"
"MO","7","R","M","L000576","21150",58,0.857380688844984,0.744779848797009,0.988201468062022,"Long (R MO-7)",323,"Billy","Long"
"WI","5","R","M","S000244","14657",5,0.857610471280783,0.744577230732481,0.969132799814424,"Sensenbrenner (R WI-5)",324,"F.","Sensenbrenner"
"AR","2","R","M","H001072","",6,0.859453468727696,0.754069979236322,0.979045883363937,"Hill (R AR-2)",325,"French","Hill"
"AL","1","R","M","B001289","",29,0.868785935111546,0.758429017262072,0.987707594850593,"Byrne (R AL-1)",326,"Bradley","Byrne"
"LA","5","R","M","A000374","",7,0.876374709432511,0.764191529131452,0.996309062618957,"Abraham (R LA-5)",327,"Ralph","Abraham"
"FL","10","R","M","W000806","21116",45,0.881065666291852,0.765515501658765,0.995067402236022,"Webster (R FL-10)",328,"Daniel","Webster"
"CA","48","R","M","R000409","15621",39,0.883576396928789,0.765116827020327,0.993876922593088,"Rohrabacher (R CA-48)",329,"Dana","Rohrabacher"
"IN","9","R","M","Y000064","21133",40,0.884171582781886,0.767369911270055,1.00012415090052,"Young (R IN-9)",330,"Todd","Young"
"WI","6","R","M","G000576","",11,0.891577551961017,0.780080066770375,1.01015329092163,"Grothman (R WI-6)",331,"Glenn","Grothman"
"FL","11","R","M","N000185","21115",60,0.892952742907198,0.766301336174866,1.00667517637168,"Nugent (R FL-11)",332,"Richard","Nugent"
"WI","1","R","M","R000570","29939",153,0.894064592617127,0.76837938793846,1.02497425807077,"Ryan (R WI-1)",333,"Paul","Ryan"
"TX","7","R","M","C001048","20139",58,0.894329853226045,0.776347402365413,1.01293471321135,"Culberson (R TX-7)",334,"John","Culberson"
"SC","2","R","M","W000795","20138",25,0.899015310785992,0.792406839670281,1.02262532990106,"Wilson (R SC-2)",335,"Joe","Wilson"
"CA","23","R","M","M001165","20703",5,0.902370973718557,0.782009596323567,1.01759247596657,"McCarthy (R CA-23)",336,"Kevin","McCarthy"
"FL","15","R","M","R000593","21117",6,0.904502700327769,0.788563437682885,1.023638555735,"Ross (R FL-15)",337,"Dennis","Ross"
"CO","3","R","M","T000470","21111",15,0.908127596352011,0.794632410604891,1.02573163545469,"Tipton (R CO-3)",338,"Scott","Tipton"
"WV","2","R","M","M001195","",15,0.912694231220731,0.792903823811917,1.0266093372484,"Mooney (R WV-2)",339,"Alex","Mooney"
"KY","6","R","M","B001282","21333",11,0.913709288211002,0.794605588214468,1.0371046970912,"Barr (R KY-6)",340,"Andy","Barr"
